;geneve-la-praille;val-ombre;geneve-aeroport;nyon;gland;aubonne;tolochenaz-morges;leman;aclens;daillens;chavorney;yverdon;payerne;avanches;broye;kerzers;lyss-ort;solothurn-zuchwil;niederbipp;neuendorf;harkingen;rickenbach-wangen;dulliken-sud;suhr;schafisheim;heitersberg;urdorf;zurich-aussersihl;zurich-nord;zurich-flughafen;aegert;winterthur;winterthur-hegi;frauenfeld;wil;uzwil-oberburen;gossaucst;st.-gallen-st.-fiden;oftringen-zofingen;dagmersellen;sursee;rothenburg;emmenbrucke;luzern-allmend;dulliken;sissach;liestal;mayenfels;basel-wolf;basel-gateway-nord;lyss;biel/bienne;pratteln-west;limmatstadt;wangen-dubendorf;schonbuhl;bern;bern-wankdorf;muri-gumligen;munsingen;heimberg-steffisburg;gwatt;bern-weyermannshaus;fribourg;crissier;lausanne-malley;zimeysa-meyrin
aegert;289.08;283.78;281.18;263.38;258.38;245.58;238.48;229.48;227.88;220.18;210.78;202.58;178.28;165.58;152.48;138.38;121.98;98.48;84.48;76.68;74.68;70.16;63.47;51.1;47.31;29.4;22.8;15.7;9.2;2.7;;14.7;17.8;31.3;47.9;58.9;71.4;80.3;68.07;80.07;90.47;105.37;108.67;112.87;64.97;82.17;89.17;93.23;100.88;106.88;123.78;132.43;94.53;31.5;2.1;136.98;142.98;147.93;153.41;161.99;172.99;182.33;147.98;170.48;232.48;236.53;286.18
winterthur;303.78;298.48;295.88;278.08;273.08;260.28;253.18;244.18;242.58;234.88;225.48;217.28;192.98;180.28;167.18;153.08;136.68;113.18;99.18;91.38;89.38;84.86;78.17;65.8;62.01;44.1;37.5;30.4;23.9;17.4;14.7;;3.1;16.6;33.2;44.2;56.7;65.6;82.77;94.77;105.17;120.07;123.37;127.57;79.67;96.87;103.87;107.93;115.58;121.58;138.48;147.13;109.23;46.2;16.8;151.68;157.68;162.63;168.11;176.69;187.69;197.03;162.68;185.18;247.18;251.23;300.88
winterthur-hegi;306.88;301.58;298.98;281.18;276.18;263.38;256.28;247.28;245.68;237.98;228.58;220.38;196.08;183.38;170.28;156.18;139.78;116.28;102.28;94.48;92.48;87.96;81.27;68.9;65.11;47.2;40.6;33.5;27;20.5;17.8;3.1;;13.5;30.1;41.1;53.6;62.5;85.87;97.87;108.27;123.17;126.47;130.67;82.77;99.97;106.97;111.03;118.68;124.68;141.58;150.23;112.33;49.3;19.9;154.78;160.78;165.73;171.21;179.79;190.79;200.13;165.78;188.28;250.28;254.33;303.98
frauenfeld;320.38;315.08;312.48;294.68;289.68;276.88;269.78;260.78;259.18;251.48;242.08;233.88;209.58;196.88;183.78;169.68;153.28;129.78;115.78;107.98;105.98;101.46;94.77;82.4;78.61;60.7;54.1;47;40.5;34;31.3;16.6;13.5;;16.6;27.6;40.1;49;99.37;111.37;121.77;136.67;139.97;144.17;96.27;113.47;120.47;124.53;132.18;138.18;155.08;163.73;125.83;62.8;33.4;168.28;174.28;179.23;184.71;193.29;204.29;213.63;179.28;201.78;263.78;267.83;317.48
wil;336.98;331.68;329.08;311.28;306.28;293.48;286.38;277.38;275.78;268.08;258.68;250.48;226.18;213.48;200.38;186.28;169.88;146.38;132.38;124.58;122.58;118.06;111.37;99;95.21;77.3;70.7;63.6;57.1;50.6;47.9;33.2;30.1;16.6;;11;23.5;32.4;115.97;127.97;138.37;153.27;156.57;160.77;112.87;130.07;137.07;141.13;148.78;154.78;171.68;180.33;142.43;79.4;50;184.88;190.88;195.83;201.31;209.89;220.89;230.23;195.88;218.38;280.38;284.43;334.08
uzwil-oberburen;347.98;342.68;340.08;322.28;317.28;304.48;297.38;288.38;286.78;279.08;269.68;261.48;237.18;224.48;211.38;197.28;180.88;157.38;143.38;135.58;133.58;129.06;122.37;110;106.21;88.3;81.7;74.6;68.1;61.6;58.9;44.2;41.1;27.6;11;;12.5;21.4;126.97;138.97;149.37;164.27;167.57;171.77;123.87;141.07;148.07;152.13;159.78;165.78;182.68;191.33;153.43;90.4;61;195.88;201.88;206.83;212.31;220.89;231.89;241.23;206.88;229.38;291.38;295.43;345.08
gossaucst;360.48;355.18;352.58;334.78;329.78;316.98;309.88;300.88;299.28;291.58;282.18;273.98;249.68;236.98;223.88;209.78;193.38;169.88;155.88;148.08;146.08;141.56;134.87;122.5;118.71;100.8;94.2;87.1;80.6;74.1;71.4;56.7;53.6;40.1;23.5;12.5;;8.9;139.47;151.47;161.87;176.77;180.07;184.27;136.37;153.57;160.57;164.63;172.28;178.28;195.18;203.83;165.93;102.9;73.5;208.38;214.38;219.33;224.81;233.39;244.39;253.73;219.38;241.88;303.88;307.93;357.58
st.-gallen-st.-fiden;369.38;364.08;361.48;343.68;338.68;325.88;318.78;309.78;308.18;300.48;291.08;282.88;258.58;245.88;232.78;218.68;202.28;178.78;164.78;156.98;154.98;150.46;143.77;131.4;127.61;109.7;103.1;96;89.5;83;80.3;65.6;62.5;49;32.4;21.4;8.9;;148.37;160.37;170.77;185.67;188.97;193.17;145.27;162.47;169.47;173.53;181.18;187.18;204.08;212.73;174.83;111.8;82.4;217.28;223.28;228.23;233.71;242.29;253.29;262.63;228.28;250.78;312.78;316.83;366.48
oftringen-zofingen;230.21;224.91;222.31;204.51;199.51;186.71;179.61;170.61;169.01;161.31;151.91;143.71;119.41;106.71;93.61;79.51;63.11;39.61;25.61;17.81;15.81;11.29;4.6;16.97;20.76;38.67;45.27;52.37;58.87;65.37;68.07;82.77;85.87;99.37;115.97;126.97;139.47;148.37;;12;22.4;37.3;40.6;44.8;6.1;23.3;30.3;34.36;42.01;48.01;64.91;73.56;35.66;40.77;70.17;78.11;84.11;89.06;94.54;103.12;114.12;123.46;89.11;111.61;173.61;177.66;227.31
dagmersellen;242.21;236.91;234.31;216.51;211.51;198.71;191.61;182.61;181.01;173.31;163.91;155.71;131.41;118.71;105.61;91.51;75.11;51.61;37.61;29.81;27.81;23.29;16.6;28.97;32.76;50.67;57.27;64.37;70.87;77.37;80.07;94.77;97.87;111.37;127.97;138.97;151.47;160.37;12;;10.4;25.3;28.6;32.8;18.1;35.3;42.3;46.36;54.01;60.01;76.91;85.56;47.66;52.77;82.17;90.11;96.11;101.06;106.54;115.12;126.12;135.46;101.11;123.61;185.61;189.66;239.31
